word,frequency
hangaring,1
hanggan,7
hangganan,39
hangganang,2
hanggat,14
hanggayon,2
hanghang,1
hango,1
hangong,1
hanguin,1
haniya,1
hanji,1
hanngang,1
hanskemchu,1
hantungan,2
hapdi,1
hapharaim,1
hapon,214
hapondrayber,1
hapones,10
hapong,6
haponingles,1
hapunan,40
harabas,1
harabe,2
haradheere,1
harangan,1
harap,41
harapang,1
harapharapan,1
harapharapang,2
harapin,9
harassin,1
harborucla,1
hardinero,1
hardweyr,3
harinawang,2
hariph,1
harmoniya,1
harodita,2
harot,2
hartus,1
haruto,2
harvardsmithsonian,1
hasabias,2
hasabna,1
hasang,2
hasarsual,2
hasarsusa,1
haseroth,2
hashtag,3
hasmona,2
hasor,2
hasum,1
hasyenda,1
hatford,1
hatid,3
hatiin,1
hatinggabi,7
hatingglobo,1
hatipha,2
hatol,24
hattus,1
hatulan,3
haumea,1
hawaan,2
hawahan,1
hawak,31
hawakan,16
hawig,2
hawla,7
hawot,1
hayaan,20
hayaang,8
hayag,6
hayagang,5
haykap,1
haylayt,1
hayop,97
hayskol,1
hayskul,4
hayss,2
hayssss,1
hayst,2
hayuk,2
hayun,1
hayup,7
hayupan,1
haywey,2
hayzzzzzz,1
hbhg,1
headalderman,1
headout,1
heartrob,1
heatrow,1
hebal,1
hedegaad,1
hedkuwarter,1
heehoon,1
heeseung,1
heesun,1
hehehee,1
hehehheheh,1
hekasi,1
helcai,1
helcurt,1
helguson,1
heliexpress,1
helikopter,19
helikoptera,1
helikoptero,2
hellowave,1
helon,1
heltolad,1
hemispero,1
hemispo,1
henealohiya,1
heneral,15
henerasyon,14
henerasyong,1
henerasyoy,1
henetika,1
henetikang,1
henetiko,1
henetikong,2
henyo,2
heograpiko,1
heograpiya,16
heograpiyang,4
heolohika,1
heolohiya,1
heometriya,1
heopisika,1
heopolitikal,1
hepe,23
hepeng,2
hepher,2
hernandezramos,1
herusalem,10
hery,1
hesmon,1
hesrai,1
hesro,1
hesron,1
hesu,2
hesus,1
heswita,1
heterosekswal,1
hetheo,2
heto,6
heurt,1
heveo,2
hezbollar,1
hezir,1
hfmd,1
hibang,1
hibaybay,2
hidroheno,2
hidwaan,4
higaan,9
higante,1
higanteng,8
higgil,1
highbloodin,1
higit,150
hihigit,4
hihigitan,1
hihilahin,1
hihilain,1
hihilingin,1
hihimasin,1
hihimlay,1
hihina,2
hihindi,2
hihinga,1
hihingi,4
hihintayin,5
hihinto,4
hihiram,1
hihiramin,1
hihit,2
hihitay,1
hiilagang,1
hikaw,3
hikayatin,3
hikbi,1
hikopter,1
hilaga,17
hilagang,65
hilagangkanluran,3
hilagangsilangan,4
hilagangsilangang,2
hilagay,1
hilahin,2
hilain,2
hilangangsilangang,1
hilatsa,1
hilaw,11
hilcias,1
hilig,16
hilik,2
hiling,12
hilingin,5
hilot,1
himagsikan,4
himagsikang,10
himala,1
himalang,1
himas,1
himbing,2
himenet,1
himig,2
himihiling,1
himlay,1
himpapapawid,1
himpapawid,21
himpilan,22
himpilang,2
hinaan,3
hinabla,1
hinabol,10
hinagisan,1
hinagpis,1
hinaha,1
hinahabol,6
hinahadlangan,2
hinahagilap,1
hinahalang,1
hinahalo,1
hinahaluan,1
hinahampas,3
hinahanap,37
hinahanapan,3
hinahanapbuhay,1
hinahanaphanap,1
hinahanda,1
hinahangaan,2
hinahangad,3
hinaharap,37
hinahatid,1
hinahatulan,1
hinahawakan,3
hinahayaan,7
hinahayaang,3
hinaheart,1
hinain,1
hinaing,4
hinala,6
hinalal,2
hinalang,1
hinalay,1
hinalik,1
hinalikan,11
hinalinhan,1
hinalinhang,1
hinalo,10
hinamon,13
hinampas,3
hinanap,9
hinanda,5
hinandang,1
hinandle,1
hinandugan,1
hinang,1
hinangaan,1
hinangad,1
hinango,2
hinarang,2
hinarangan,7
hinarap,6
hinatak,2
hinati,6
hinatid,3
hinatulan,9
hinaut,1
hinawakan,8
hinayaan,2
hinayang,1
hinayhinay,1
hinayin,1
hinayupak,1
hindii,1
hindikasangkapan,1
hindimo,1
hinding,3
hindinghindi,9
hindipaggamit,1
hindipakikilahok,1
hindipangkalakalang,1
hindot,6
hinduismo,1
hineart,1
hinele,1
hinete,1
hinga,3
hinggil,36
hingi,2
hingil,1
hiniga,1
hinigaran,1
hinigpitan,2
hinihighblood,1
hinihikayat,4
hinihila,3
hinihiling,6
hinihimok,3
hinihimuk,1
hinihinala,1
hinihinalaang,1
hinihinalang,14
hinihingal,5
hinihingi,14
hinihinging,4
hinihinilang,1
hinihintay,17
hinihiphipan,1
hinihiwa,1
hinikayat,6
hinila,3
hinilamusan,1
hinilang,1
hiniling,18
hinilingan,1
hinimas,1
hinimatay,1
hinimok,3
hininga,3
hiningi,1
hinintay,6
hinintayan,1
hininto,1
hiniram,4
hinirang,10
hiniritan,1
hiniwaan,2
hiniwahiwa,1
hiniwahiwang,1
hiniwalay,1
hiniwalayan,2
hiniwang,1
hinlalaki,3
hinliliit,1
hinog,10
hintay,4
hintayin,12
hinto,2
hintuturo,1
hinubad,3
hinugasan,1
hinugis,1
hinuhgshan,1
hinuhubad,1
hinuhugas,1
hinuhugis,1
hinuhugot,1
hinuhulaan,2
hinuhulog,1
hinuhusgahan,1
hinulaan,3
hinulaang,3
hinuli,8
hinulog,1
hipag,4
hipan,1
hipon,4
hipuin,2
hiramin,4
hirang,2
hirangin,1
hirit,2
hisiel,1
historikal,1
historya,1
historyador,1
histrix,1
hita,10
hitabo,1
hitad,1
hitang,2
hiter,1
hitsura,9
hiwa,3
hiwaga,3
hiwahiwalay,3
hiwahiwang,1
hiwain,1
hiwalay,12
hiwalayan,1
hiwalayin,1
hiyabashful,1
hiyabashfulbop,1
hiyain,1
hiyang,1
hiyanghiya,1
hiyarotfl,1
hiyas,3
hiyaw,1
hiyawan,1
hmmmp,1
hndi,2
ho,21
hobi,4
hody,1
hoines,1
holdap,1
holdaper,1
holkins,1
homebizcom,1
homoseksuwalidad,1
homosekswal,1
homosekswalidad,5
hondurasnicaragua,1
honesttogoodness,1
honga,1
hontiveros,1
hoosiyers,1
hopemongering,1
hopia,1
hopya,2
hopyang,13
hordak,1
hordur,1
horhagidgad,2
horma,4
hormon,1
hormong,3
hortifact,1
hoseas,1
hospisyo,1
hotelay,1
hoyy,1
hoyyyy,1
hsinchuang,1
hsinsecret,1
httpenwikipediaorgwikixboxtechnicalproblems,1
hubad,13
hubarin,1
hubbytitikim,1
hubot,3
hudaismo,2
hudas,1
hudikatura,1
hudisyal,1
hudyat,4
hudyo,14
hugasan,8
hughog,1
hugis,11
huhubad,1
huhubarin,1
huhugasan,1
huhuhu,7
huhuhuhu,1
huhujhgug,1
huhulaan,1
huhuntingin,1
huhusay,1
hukbo,22
hukbong,22
hukbongdagat,16
hukbongpanghimpapawid,1
hukbongsandatahan,1
hukman,3
hukom,30
hukuman,45
hulaan,5
hulang,1
hulaping,1
hulas,1
hule,1
hulihan,5
hulihang,1
hulihin,7
hulingbambang,1
hulinghuli,1
hulog,6
hulugan,2
hulyo,44
hulyosetyembre,1
humaba,3
humabol,1
humadlang,1
humagilap,1
humagulgol,1
humagupit,1
humahabol,2
humahadlang,2
humahaginit,2
humahalaw,1
humahamon,1
humahampas,1
humahanap,4
humahanga,1
humahantong,1
humaharang,1
humaharap,13
humaharurot,1
humahati,1
humahawak,3
humahawi,1
humalakhak,1
humalal,1
humalang,1
humalik,2
humalili,1
humamog,2
humamon,2
humampas,1
humanap,3
humanda,1
humanga,1
humangin,1
humanismo,1
humanitaryan,2
humantong,36
humarap,14
humarok,1
humatol,1
humawak,10
humay,1
humiga,6
humigi,1
humigit,13
humigitkumulang,33
humigop,2
humigpit,1
humihiga,1
humihihip,1
humihikayat,2
humihilab,1
humihilik,6
humihiling,3
humihinga,6
humihingi,21
humihiram,2
humihithit,2
humihitit,1
humikab,1
humikayat,3
humilik,1
humiling,12
humimlay,1
humimok,1
humimpil,1
humina,4
humindi,2
huminga,6
humingi,51
huminog,1
humintay,1
huminto,13
humipo,1
humirit,1
humiwalay,4
humiyaw,1
humpay,1
humss,1
humugitkumulang,1
humuhugong,1
humuhula,1
humuhuli,1
humukay,1
humuling,1
humupa,3
humusga,2
hunana,1
huni,1
huntahan,1
hunterheay,2
hunyango,1
hunyo,44
hupiter,24
hurado,23
huram,1
hurdl,1
hurds,1
hurisdiksyon,4
husatita,2
husga,1
husgahan,6
husim,1
hustisya,7
hustiya,1
husto,22
hutil,1
hutok,1
huwad,4
huwang,2
huwebes,57
huwego,1
huwes,9
huwodywodiosi,1
hwag,1
hybe,1
hyeji,1
hyewon,1
hygine,1
hyojung,1
hyperacidity,1
hyunakie,1
hyunjin,2
iaabolish,1
iaalok,1
iaantala,1
iabot,2
iaccept,1
iadd,5
iadjust,1
iadyast,1
iakyat,1
ialmusal,1
iangat,1
iantala,1
ianunsiyo,1
iatras,1
ibaar,1
ibaba,11
ibababa,3
ibababad,1
ibabad,2
ibabalik,8
ibaban,1
ibabang,2
ibabangkaliwang,1
ibabartolina,1
ibabaw,51
ibabayad,2
ibahagi,7
ibahin,1
ibaiba,4
ibaibang,20
ibalangkas,3
ibalik,23
ibalita,1
ibalot,1
ibanghayin,1
ibasura,5
ibat,81
ibatan,1
ibatibang,30
ibawal,2
ibay,3
ibayo,2
ibayong,6
ibbara,1
ibblock,1
ibbr,2
ibebenta,6
ibenta,8
ibevideo,1
ibhar,1
ibibigay,19
ibida,1
ibigay,139
ibigin,3
ibigsabihin,3
ibili,1
ibinaba,4
ibinababa,1
ibinabahagi,2
ibinabangon,1
ibinabatong,1
ibinabayad,1
ibinabyahe,1
ibinahagi,2
ibinalangkas,1
ibinalik,4
ibinaling,1
ibinalita,15
ibinalitang,1
ibinangga,1
ibinaril,1
ibinase,1
ibinasura,4
ibinatay,1
ibinawal,2
ibinayad,4
ibinebenta,3
ibinibigay,6
ibinibintang,1
ibinibitinbitin,1
ibinigay,33
ibinihagi,1
ibinilang,4
ibinilanggo,2
ibinili,1
ibinilin,1
ibinoto,3
ibinotong,1
ibinubugaw,1
ibinuhos,1
ibinukas,4
ibinukod,1
ibinulgar,1
ibinulong,1
ibinunyag,4
ibinuwal,1
ibinuwelta,1
ibinyahe,1
iblock,1
iboboil,1
ibody,1
ibon,70
ibong,22
ibop,1
iboto,2
ibroadcast,1
ibsang,1
ibubuhos,1
ibubuking,1
ibubulsa,1
ibubuod,1
ibuka,1
ibukod,2
ibulgar,1
ibunyag,5
ibusted,1
ibuyong,1
ibzan,1
icafe,1
icafes,1
icecelebrate,1
icecold,1
icelebrate,2
icemark,1
icesaw,1
icheck,1
ichichika,1
icomfort,1
icoverup,1
icut,1
icybersabotage,1
idaan,2
idadaan,1
idagdag,9
idalangin,1
idamay,2
idaos,1
idaraos,2
iddate,1
idedefend,1
idedeliver,1
ideepfreeze,2
idefine,1
idefrag,1
ideklara,2
ideklarang,1
ideklera,1
idekoreyt,1
ideley,1
idelohiya,1
idenefine,7
idenefy,1
idenefyika,6
ideneklara,32
idenepensa,1
idenetify,12
idenetifya,1
idenfity,4
idenfitye,1
idenitfy,2
ideolohiya,3
idepensa,1
ideporta,1
idescribe,3
idesenyong,1
idetina,1
ideya,38
ideyal,1
ideyang,3
ideyay,2
ideyolohiya,2
ididikta,1
ididineklara,1
idiin,2
idikit,2
idinadag,1
idinadagdag,1
idinagdag,28
idinahilang,1
idinaos,7
idineklara,6
idineklarang,6
idinemanda,3
idiniin,8
idinikit,1
idiniklarang,2
idinirihe,2
idinugtong,1
idinulit,1
idinulot,8
idisenyo,1
idistansya,1
idlib,1
idodonasyon,1
idolo,2
idrawing,1
idredge,1
idrop,1
idrowing,1
idudugtong,1
idudulot,2
idulot,1
idyoma,1
iedit,1
ieeksibit,1
iemail,1
iemphasize,2
iendorso,2
ienjoy,1
iexplain,1
iextend,1
iflush,1
igalang,3
iganti,1
igastos,1
igeabarim,1
iggive,1
iginagalang,7
iginagawad,1
iginawa,2
iginawad,4
iginigiit,1
iginiit,8
iginitgit,1
iginugol,2
iginuhit,1
igkas,2
iglap,1
ignoransiyay,1
ignorante,1
igorot,1
iguhit,2
ihagis,1
ihahain,1
ihahalal,1
ihahambing,3
ihahampas,1
ihahandang,1
ihaharap,2
ihahatid,2
ihahayag,1
ihalal,2
ihalimbawa,1
ihalo,3
ihambing,1
ihanda,1
ihandog,2
iharap,2
ihate,1
ihatid,11
ihayag,4
iheader,1
ihele,1
ihian,2
ihinabla,1
ihinahain,1
ihinalal,1
ihinehele,1
ihingi,1
ihinto,6
ihip,1
ihohold,1
ihugis,1
iibahin,1
iibigin,2
iidlip,1
iigo,1
iihawin,1
iiimpound,1
iiipin,1
iiklian,1
iilan,4
iilang,11
iimagine,2
iimbak,1
iimbestiga,2
iimbestigahan,5
iimpormasyon,1
iimprint,1
iinactive,1
iingat,3
iingay,2
iinggit,1
iinit,1
iinom,2
iinon,1
iinsulto,1
iinumin,2
iinvestigate,1
iipon,1
iipunan,1
iipunin,1
iiral,1
iisa,9
iisang,15
iisangtabi,1
iisip,3
iisipin,1
iisyu,1
iiwan,4
iiwanan,6
iiwanang,1
iiwang,1
iiwasan,1
iiyak,15
iiyakan,2
ijustify,1
ikaanim,12
ikaanimnapung,1
ikaapat,19
ikabubuti,3
ikagraduate,1
ikahiya,2
ikailang,2
ikaisandaang,1
ikakabuti,1
ikakamatay,1
ikakaperwisyo,2
ikakasal,7
ikakasira,1
ikalabindalawang,1
ikalabing,2
ikalabinganim,1
ikalabingisa,2
ikalabinglima,1
ikalabinlimang,1
ikalat,2
ikalawa,5
ikalawang,65
ikaliligtas,1
ikalima,8
ikalimang,13
ikaluluhod,2
ikamamatay,1
ikamatay,2
ikamukha,1
ikandado,3
ikansela,2
ikapapahamak,1
ikapito,3
ikapitong,1
ikasal,2
ikasampong,1
ikasang,2
ikasangpu,2
ikasangpung,4
ikasiglongmusika,1
ikasisi,1
ikasiyam,5
ikath,1
ikatlo,14
ikatlong,29
ikatlongpangkat,1
ikawalo,5
ikawalong,1
ikawy,1
ikay,8
ikeep,1
ikinabahala,1
ikinabubuhay,1
ikinadismaya,1
ikinagagalak,1
ikinagagalit,1
ikinagalak,2
ikinagalit,1
ikinaganda,1
ikinagulat,1
ikinahihiya,1
ikinain,1
ikinakain,1
ikinakalat,2
ikinakatakot,1
ikinalulungkot,1
ikinalungkot,1
ikinamatay,3
ikinararangal,1
ikinasal,9
ikinasala,1
ikinasawi,2
ikinasisiya,1
ikinasugat,2
ikinatutuwa,1
ikinatuwa,1
ikinikuwento,1
ikinompara,1
ikinubli,1
ikinukulong,1
ikinulong,1
ikinumpara,4
ikinuwento,1
ikiss,1
ikli,1
iklik,1
ikompara,1
ikomplikado,1
ikonsidera,1
ikontrast,1
ikot,21
ikotin,1
iksamen,11
iksameng,1
iksaminen,1
iksiheno,1
ikuha,1
ikukumpara,1
ikukumpirma,1
ikukuwarantin,1
ikulong,2
ikumpara,1
ikumpirma,1
ikuwekuwento,1
ikuwento,2
ikwento,2
ilaan,1
ilaban,2
ilabas,18
ilagay,25
ilai,1
ilalaan,2
ilalaban,1
ilalabas,6
ilalagay,7
ilalahad,1
ilalaim,1
ilalakad,1
ilalala,1
ilalapit,1
ilalathala,1
ilalim,144
ilantad,1
ilarawan,15
ilatag,1
ilaya,1
ileksyon,1
ileletse,1
ilibre,1
ilichil,1
iligpit,1
iligtas,7
ilihis,2
ilikas,2
ililibre,1
ililigtas,1
ililikas,1
ililikhang,1
ililipad,1
ililipat,1
ilipat,7
ilock,1
ilokana,1
ilong,20
ilugar,1
ilulunod,1
ilulunsad,3
iluluto,2
ilunsad,2
ilustrasyon,1
ilustrisimo,1
ilusyon,2
imahe,23
imahen,2
imaheng,6
imahinasyon,6
imamarites,1
imamyday,1
imang,2
imangskie,1
imarinate,1
imaximize,1
imbak,1
imbakan,2
imbensiyon,1
imbentaryo,1
imbento,1
imbentong,1
imbentor,1
imbes,14
imbestiga,2
imbestigador,4
imbestigahan,7
imbestigasyon,65
imbestigasyong,3
imbestigasyonsa,1
imbestment,1
imbis,4
imbitado,2
imbitahin,5
imbitasyon,3
imbudong,1
imburnal,1
imedya,1
imee,1
imigrante,5
imigrasyon,3
imik,1
iminumungkahi,4
iminumungkahing,2
iminungkahi,24
iminungkahing,1
imitasyon,1
immigation,1
imonggo,1
imoral,4
impak,1
impakeng,1
impeksiyon,3
impeksiyongaya,1
impeksyon,15
impeksyong,2
imperiyalista,1
imperyal,2
imperyalismong,1
imperyong,1
impiyerno,1
impiyernong,1
implasyon,1
implementahin,1
implementasyon,5
implikasyon,7
implikasyong,2
impliyado,1
implrwensya,1
impluwensiya,7
impluwensiyahan,1
impluwensya,8
impluwensyang,1
impomasyon,1
impormasiyon,1
impormasyon,89
impormasyong,7
importansya,1
importanteng,8
importasyon,2
imposibleng,12
impotanteng,1
imprastraktura,6
imprastruktura,3
impressionint,1
impresyon,3
impuwensiya,1
impyerno,7
imumungkahi,1
imungkahi,1
inaaasahan,1
inaabala,1
inaabangan,4
inaabatan,1
inaabisuhan,1
inaabot,2
inaabuso,4
inaaccept,1
inaacept,1
inaagasan,1
inaagaw,2
inaakala,4
inaakalang,3
inaaksahan,1
inaaksyunan,1
inaakusahan,2
inaalaala,1
inaalagaan,1
inaalala,4
inaalalayan,1
inaalam,7
inaalila,1
inaalintana,1
inaalis,7
inaaliw,2
inaalok,1
inaamin,4
inaamoy,1
inaanay,1
inaangkin,3
inaano,5
inaanod,1
inaantay,2
inaantok,11
inaanyayahan,2
inaapakan,1
inaapi,1
inaapula,2
inaaral,1
inaaresto,1
inaasahan,81
inaasahang,62
inaasahanito,1
inaasar,1
inaasawa,2
inaasawang,2
inaasikaso,2
inaassess,2
inaatake,4
inaatas,1
inaaupdate,1
inaaway,1
inaayawan,1
inaayos,4
inaayuda,1
inabala,1
inabandona,2
inabangan,1
inabisuhan,3
inabot,17
inabraw,2
inabuso,4
inabutan,4
inabutang,1
inaccelerate,1
inadopta,1
inadventure,1
inagaw,4
inagurasyon,1
inahin,3
inahit,1
inakala,7
inakalang,4
inako,2
inakupa,1
inakusahan,9
inakusahang,1
inakyat,1
inalagaan,3
inalalayan,1
inalathalang,1
inalerto,1
inalis,38
inalisan,1
inalok,3
inamin,18
inamo,2
inampon,1
inanakan,1
inang,12
inangat,2
inangbayan,1
inangkin,3
inangking,1
inaninaw,1
inantala,1
inanunsiyo,1
inanunsyo,8
inanunsyong,1
inanyayahan,2
inapela,1
inapi,3
inapit,2
inapo,1
inaprobahan,1
inaprub,1
inaprubahan,10
inaraw,1
inarbor,1
inaresto,19
inarte,2
inasahan,12
inasahang,2
inasal,1
inasikaso,1
inatake,4
inatas,1
inatasan,1
inatras,1
inaupload,1
inaway,3
inay,11
inayos,8
inayunan,2
inazuma,1
inbentor,1
inbitasyon,1
inday,5
independenteng,1
independeteng,2
independienteng,1
independista,1
independiyente,7
independiyenteng,4
independyente,4
independyenteng,1
indiano,1
indibiduwal,4
indibidwal,22
indibidwalismo,1
indibidyual,1
indihena,1
indikasyon,4
indipendiyenteng,1
indipindiyente,1
indise,2
indiya,5
indiyana,2
indiyo,1
indoeuropeo,1
indonesya,1
indopacific,5
indopasipiko,1
indultong,1
industrializasyon,1
industriya,41
industriyal,5
industriyalisadong,1
industriyang,2
industriysa,1
industrya,3
indyang,3
ineeettalo,1
ineenjoy,1
ineensayo,1
ineestorbo,1
ineexpect,1
ineeym,1
inehemplo,1
ineksakto,1
inempake,1
inend,1
ineng,2
inererekomendang,1
inexpect,2
inganga,1
ingatan,6
ingats,1
ingay,29
inggit,8
inggitan,1
inggitero,1
inggitin,2
inglatera,22
ingletara,1
ingliserong,1
ingratera,1
inhenyero,4
inhinyero,5
inhinyerong,1
iniaalis,1
iniaantala,1
iniabot,3
inialis,1
inialok,2
iniatang,1
iniba,5
inibinalita,1
inicon,1
inidoro,2
iniendorso,1
inienglish,1
inihabla,4
inihahabla,1
inihahanay,1
inihahanda,2
inihahatid,2
inihahayag,1
inihain,1
inihalal,4
inihalo,2
inihambing,3
inihampas,1
inihanay,1
inihanda,3
inihandog,2
iniharap,2
inihatid,6
inihaw,5
inihayag,32
inihinto,1
inihiwalay,1
inihulog,4
iniiba,1
iniibig,6
iniihaw,1
iniikot,2
iniilawan,2
iniilipat,1
iniimagine,1
iniimbestigahan,12
iniimbestinahan,1
iniimbistigahan,2
iniimbitahan,1
iniingatan,2
iniinis,1
iniinom,6
iniintay,4
iniintindi,1
iniipon,1
iniisip,78
iniisponsoran,1
iniispreyan,1
iniissue,1
iniistalk,1
iniisyu,1
iniiwan,2
iniiwanan,1
iniiwasan,4
iniiyakan,3
iniiztalk,1
iniksi,1
inilaan,2
inilabas,38
inilagak,1
inilagay,27
inilagda,1
inilahad,3
inilakip,1
inilalaang,1
inilalaban,1
inilalabas,2
inilalagay,6
inilalahad,2
inilalapat,1
inilalarawan,5
inilalathala,1
inilamang,1
inilantad,3
inilapat,3
inilarawa,1
inilarawan,62
inilathala,6
inilayo,2
inilibas,1
inilibing,10
inilibre,1
iniligtas,5
inilihis,2
inilikas,3
inilikha,1
inililibing,1
inililibre,1
inililihim,1
inililipad,1
inililipat,2
inilimbag,1
inilipad,2
inilipat,16
inilistang,1
inilulugmok,1
iniluluwas,1
inilunsad,18
iniluto,1
iniluwas,1
inimbak,2
inimbento,1
inimbestigahan,4
inimbistigahan,1
inimbita,4
inimbitahan,7
inimbitahang,1
inimplemento,1
inimport,1
inimprinta,1
inimungkahi,1
inindorso,1
ininform,1
ininit,1
ininom,5
ininterbyu,4
inintrodyus,1
ininvite,1
inip,1
inireklamo,1
inirekord,1
inireport,1
inirepresenta,1
inirerekomenda,1
inirerekomendang,1
inisaalangalang,1
inisip,8
inisiyal,1
inisplukelya,1
inisponsoran,1
inistalk,1
inisyal,1
inisyatibo,2
inisyu,3
iniulat,68
iniunat,1
iniurong,1
iniutos,5
iniuulat,6
iniuwi,2
iniwan,37
iniwanan,7
iniwang,1
iniwasan,5
iniwasto,1
iniy,1
iniyakan,1
injeksyon,1
inlab,4
inlipat,1
inluv,1
innerhoden,1
innernet,1
inobserbahan,1
inokupa,1
inoobserbahan,2
inooptimized,1
inoorbit,1
inorasan,1
inordinahan,1
inorganisa,2
inosente,4
inosenteng,3
inprastraktura,1
insayder,1
insekto,6
insenso,1
insentibo,1
insentibong,1
insidente,82
insidenteng,5
inspeksiyon,1
inspeksyon,3
inspeksyong,1
inspeksyunin,1
inspektor,5
inspiradong,1
inspirasyon,7
instagram,9
instalasyon,1
instinto,1
institustyon,1
institusyon,4
institusyonal,2
institusyong,2
instruksyon,1
instrumentong,3
insulasyon,1
insulto,5
integridad,3
intelcenter,1
intelehensya,3
intelehente,2
intelektuwal,1
intelektwal,3
intelihensya,5
intelihente,1
intelihenteng,3
intellligent,1
intendehin,1
intensiyong,1
intensyon,7
intensyong,2
interaksiyon,1
interbensyon,1
interbyu,5
interbyuhin,1
interesadong,1
interesadonginteresado,1
interesanteng,1
intergovernment,1
internasyonal,25
internasyunal,1
interogasyon,3
interogaytor,1
interpretasyong,1
interseksiyon,1
interseksyon,2
intersesyonal,1
interstelar,1
interyor,9
intesaconsumatori,1
intimidasyon,1
intindhin,1
intindihin,5
intitute,1
inton,1
intriga,2
intsik,14
intuwisyon,1
inubos,3
inudyukan,1
inugitan,1
inukupahang,1
inulam,1
inulat,1
inulit,16
inuman,6
inumbok,1
inumin,28
inumpisahan,1
inumpisang,1
inuna,5
inunahan,3
inunfollow,1
inunfriend,2
inupahan,1
inupdate,1
inupload,1
inuri,8
inuring,4
inurira,1
inusig,1
inutang,3
inutil,5
inutos,2
inutusan,6
inutusang,2
inuubliga,1
inuubos,3
inuudyukan,1
inuulam,2
inuulat,1
inuulit,4
inuuna,1
inuuod,1
inuupahan,3
inuupahang,5
inuusisa,1
inuutang,1
inuutusan,3
inuwi,1
inyokaya,1
inyonaglalabor,1
inyoy,1
ioff,1
iooffer,1
iopen,2
iotm,1
ipaabang,1
ipaabot,1
ipaalaala,2
ipaalam,10
ipaalbularyo,2
ipaampon,1
ipaavatar,1
ipaayos,4
ipabarang,1
ipabata,1
ipabatid,2
ipabili,1
ipabukas,1
ipacheck,1
ipadadala,1
ipadala,5
ipadalang,1
ipadetalye,1
ipag,1
ipagagamit,1
ipagamit,1
ipagamot,1
ipagawa,3
ipagaya,1
ipagbabawal,3
ipagbagsakan,1
ipagbawal,3
ipagbenta,1
ipagbibili,2
ipagbigay,1
ipagbili,7
ipagdala,1
ipagdiwang,2
ipagdrowing,2
ipagkakaloob,2
ipaglaan,1
ipaglaban,1
ipagluluto,1
ipagpaliban,3
ipagpalit,1
ipagpapalagay,1
ipagpapatuloy,4
ipagpatuloy,14
ipagpaumanhin,1
ipagpilitan,1
ipagpipilitan,1
ipagtabuyan,2
ipagtanggol,7
ipagwalambahala,2
ipagwalang,1
ipagwalangbahala,1
ipagyabang,1
ipahalata,1
ipahayag,8
ipahid,1
ipahihintulot,1
ipahihiram,1
ipahintulot,2
ipakagat,1
ipakidala,1
ipakikinig,1
ipakikipaglaban,1
ipakikita,4
ipakikiusap,1
ipakilala,6
ipakinig,1
ipakita,22
ipako,1
ipakulong,1
ipalabas,10
ipalaganap,1
ipalagay,1
ipalalaro,1
ipalamon,1
ipaligtas,1
ipaliliwanag,1
ipalit,2
ipaliwanag,18
ipamahagi,2
ipamalas,1
ipamigay,4
ipanalo,1
ipangako,1
ipanganak,1
ipangatwiran,1
ipangbili,1
ipangilin,1
ipangingilin,1
ipanotary,1
ipapa,3
ipapaalam,1
ipapabalot,2
ipapabili,1
ipapadala,1
ipapaframe,1
ipapagawa,1
ipapahayag,1
ipapahulog,2
ipapakilala,1
ipapakita,5
ipapakulam,1
ipapakulong,1
ipapalabas,3
ipapalagay,1
ipapalaser,1
ipapalinis,1
ipapalit,1
ipapaliwanag,8
ipapanandaliang,1
ipapasagasa,1
ipapasalubong,1
ipapasyal,1
ipapatalon,1
ipapataw,1
ipapatawag,1
ipapatay,2
ipapatigil,1
ipapatugtog,1
ipapatunayan,1
ipapatupad,1
iparamdam,1
ipareha,1
ipareho,1
ipartner,2
ipasa,7
ipasara,1
ipasiyasat,1
ipaskil,1
ipasok,7
ipasundo,1
ipasunog,1
ipasuot,1
ipasya,1
ipasyang,1
ipatak,1
ipatalo,1
ipataw,1
ipatawag,1
ipatch,1
ipatigil,2
ipatitrace,1
ipatnugot,2
ipatupad,8
ipatutupad,3
ipaunawa,1
ipawalangbisa,3
ipawalangsaysay,1
ipekci,1
ipifeature,1
ipilit,3
ipinaalam,7
ipinaayos,1
ipinababata,1
ipinacremate,1
ipinadala,14
ipinagaalala,1
ipinagawa,1
ipinagbabawal,18
ipinagbadya,1
ipinagbawal,7
ipinagbibili,6
ipinagbigay,1
ipinagbigayalam,1
ipinagbili,2
ipinagbilin,1
ipinagdarasal,3
ipinagdiriwang,1
ipinagdiwang,1
ipinagdrayb,1
ipinaggawa,1
ipinaghahabol,1
ipinaghanda,1
ipinagkagulo,1
ipinagkaiba,1
ipinagkakaloob,2
ipinagkaloob,2
ipinaglaan,1
ipinaglalaban,1
ipinagluto,2
ipinagmamalaki,5
ipinagmamayabang,1
ipinagpaalam,1
ipinagpalagay,1
ipinagpaliban,6
ipinagpapatayan,1
ipinagpatuloy,9
ipinagpaubaya,1
ipinagpauna,1
ipinagpitas,1
ipinagsama,1
ipinagsamang,1
ipinagtanggol,7
ipinagtatanggol,4
ipinagtrabaho,1
ipinagyayabang,2
ipinahahayag,1
ipinahay,1
ipinahayag,65
ipinahihiwatig,1
ipinahiwatig,11
ipinahiya,1
ipinaiisip,1
ipinain,1
ipinakahulugan,1
ipinakalat,2
ipinakikipagtalo,1
ipinakilala,14
